imageId,articleTypeName,categoryName,articleTypeId,categoryId
11542,Kurtas,Topwear,5,0
14723,Shirts,Topwear,1,0
22137,Formal Shoes,Shoes,17,1
50230,Sunglasses,Eyewear,9,7
33916,Watches,Watches,3,3
46570,Watches,Watches,3,3
4306,Tshirts,Topwear,0,0
52961,Sarees,Saree,25,16
52871,Deodorant,Fragrance,27,8
40082,Shorts,Bottomwear,20,4
38450,Handbags,Bags,7,2
39824,Sandals,Sandal,12,9
29733,Handbags,Bags,7,2
15011,Track Pants,Bottomwear,30,4
34616,Briefs,Innerwear,13,5
28529,Tshirts,Topwear,0,0
29511,Watches,Watches,3,3
14408,Heels,Shoes,8,1
19288,Watches,Watches,3,3
35444,Tops,Topwear,6,0
23293,Watches,Watches,3,3
29796,Shirts,Topwear,1,0
39457,Kurtas,Topwear,5,0
4156,Sports Shoes,Shoes,4,1
36015,Belts,Belts,14,12
10606,Watches,Watches,3,3
9025,Casual Shoes,Shoes,2,1
17625,Track Pants,Bottomwear,30,4
21347,Sunglasses,Eyewear,9,7
31673,Jeans,Bottomwear,19,4
28695,Kurtas,Topwear,5,0
40394,Tops,Topwear,6,0
11234,Jeans,Bottomwear,19,4
27744,Handbags,Bags,7,2
7867,Tshirts,Topwear,0,0
12460,Shirts,Topwear,1,0
22194,Casual Shoes,Shoes,2,1
11919,Sandals,Sandal,12,9
48467,Dresses,Dress,24,14
23137,Sweatshirts,Topwear,32,0
50545,Briefs,Innerwear,13,5
20199,Sweatshirts,Topwear,32,0
36771,Watches,Watches,3,3
17631,Handbags,Bags,7,2
4371,Tshirts,Topwear,0,0
18906,Sports Shoes,Shoes,4,1
34163,Tops,Topwear,6,0
12005,Shirts,Topwear,1,0
22854,Casual Shoes,Shoes,2,1
5934,Casual Shoes,Shoes,2,1
12932,Tshirts,Topwear,0,0
24914,Tshirts,Topwear,0,0
15671,Jeans,Bottomwear,19,4
10866,Tshirts,Topwear,0,0
48124,Belts,Belts,14,12
45958,Tshirts,Topwear,0,0
55843,Nail Polish,Nails,28,18
41426,Trousers,Bottomwear,21,4
46432,Watches,Watches,3,3
58012,Tops,Topwear,6,0
32470,Tshirts,Topwear,0,0
18406,Casual Shoes,Shoes,2,1
23693,Wallets,Wallets,10,10
16367,Shirts,Topwear,1,0
8260,Handbags,Bags,7,2
13198,Sports Shoes,Shoes,4,1
13721,Caps,Headwear,33,19
44782,Sports Shoes,Shoes,4,1
33062,Shirts,Topwear,1,0
29564,Casual Shoes,Shoes,2,1
15410,Flip Flops,Flip Flops,11,11
19360,Briefs,Innerwear,13,5
36477,Casual Shoes,Shoes,2,1
19597,Tops,Topwear,6,0
6534,Tshirts,Topwear,0,0
30351,Tshirts,Topwear,0,0
9083,Track Pants,Bottomwear,30,4
2141,Tshirts,Topwear,0,0
7710,Casual Shoes,Shoes,2,1
10787,Shirts,Topwear,1,0
25122,Clutches,Bags,31,2
37057,Belts,Belts,14,12
14568,Casual Shoes,Shoes,2,1
11662,Tshirts,Topwear,0,0
3535,Tshirts,Topwear,0,0
12289,Trousers,Bottomwear,21,4
5391,Sports Shoes,Shoes,4,1
29706,Shirts,Topwear,1,0
34898,Handbags,Bags,7,2
33712,Flip Flops,Flip Flops,11,11
49745,Ties,Ties,36,20
42112,Tshirts,Topwear,0,0
41858,Sandals,Sandal,12,9
28333,Sandals,Sandal,12,9
53985,Handbags,Bags,7,2
16768,Handbags,Bags,7,2
30122,Tshirts,Topwear,0,0
22364,Sweatshirts,Topwear,32,0
20403,Wallets,Wallets,10,10
26611,Sports Shoes,Shoes,4,1
35450,Tops,Topwear,6,0
32831,Heels,Shoes,8,1
11684,Shirts,Topwear,1,0
37432,Handbags,Bags,7,2
6854,Sports Shoes,Shoes,4,1
13843,Sandals,Sandal,12,9
27773,Wallets,Wallets,10,10
28881,Briefs,Innerwear,13,5
19780,Handbags,Bags,7,2
52890,Sarees,Saree,25,16
38532,Sports Shoes,Shoes,4,1
30480,Bra,Innerwear,23,5
22756,Kurtas,Topwear,5,0
46079,Sports Shoes,Shoes,4,1
3103,Tshirts,Topwear,0,0
20542,Belts,Belts,14,12
8780,Shirts,Topwear,1,0
35573,Flip Flops,Flip Flops,11,11
21153,Sweatshirts,Topwear,32,0
7208,Tops,Topwear,6,0
9055,Sports Shoes,Shoes,4,1
43490,Tshirts,Topwear,0,0
19657,Tshirts,Topwear,0,0
33298,Shirts,Topwear,1,0
6642,Sports Shoes,Shoes,4,1
4190,Tshirts,Topwear,0,0
33700,Formal Shoes,Shoes,17,1
32554,Casual Shoes,Shoes,2,1
57409,Briefs,Innerwear,13,5
13180,Sports Shoes,Shoes,4,1
3351,Tshirts,Topwear,0,0
14646,Tshirts,Topwear,0,0
3819,Tshirts,Topwear,0,0
6379,Casual Shoes,Shoes,2,1
30680,Sunglasses,Eyewear,9,7
48067,Tshirts,Topwear,0,0
44252,Handbags,Bags,7,2
9632,Shirts,Topwear,1,0
3269,Tshirts,Topwear,0,0
46826,Heels,Shoes,8,1
30309,Tshirts,Topwear,0,0
10684,Tshirts,Topwear,0,0
10805,Shirts,Topwear,1,0
46295,Deodorant,Fragrance,27,8
23818,Flip Flops,Flip Flops,11,11
41098,Tops,Topwear,6,0
40119,Tshirts,Topwear,0,0
29565,Casual Shoes,Shoes,2,1
28423,Sunglasses,Eyewear,9,7
13745,Shirts,Topwear,1,0
40549,Watches,Watches,3,3
4825,Track Pants,Bottomwear,30,4
20490,Handbags,Bags,7,2
27462,Bra,Innerwear,23,5
19527,Sweaters,Topwear,34,0
18468,Perfume and Body Mist,Fragrance,18,8
10072,Tshirts,Topwear,0,0
2669,Handbags,Bags,7,2
16749,Clutches,Bags,31,2
51913,Handbags,Bags,7,2
45107,Watches,Watches,3,3
2348,Tshirts,Topwear,0,0
27682,Handbags,Bags,7,2
13770,Tshirts,Topwear,0,0
12846,Tshirts,Topwear,0,0
23967,Tshirts,Topwear,0,0
6707,Tshirts,Topwear,0,0
12837,Dresses,Dress,24,14
3221,Sports Shoes,Shoes,4,1
20506,Handbags,Bags,7,2
12395,Socks,Socks,16,13
6628,Sports Shoes,Shoes,4,1
38563,Shorts,Bottomwear,20,4
6744,Sports Shoes,Shoes,4,1
36518,Belts,Belts,14,12
28254,Deodorant,Fragrance,27,8
20129,Shirts,Topwear,1,0
14669,Shirts,Topwear,1,0
57339,Bra,Innerwear,23,5
53048,Sarees,Saree,25,16
47209,Formal Shoes,Shoes,17,1
2089,Tshirts,Topwear,0,0
39375,Watches,Watches,3,3
31212,Sports Shoes,Shoes,4,1
57274,Shirts,Topwear,1,0
22543,Sports Shoes,Shoes,4,1
36127,Wallets,Wallets,10,10
37503,Watches,Watches,3,3
9014,Sports Shoes,Shoes,4,1
8262,Backpacks,Bags,15,2
12135,Kurtas,Topwear,5,0
6721,Tshirts,Topwear,0,0
24923,Tops,Topwear,6,0
53889,Handbags,Bags,7,2
26955,Tops,Topwear,6,0
13067,Casual Shoes,Shoes,2,1
18750,Shirts,Topwear,1,0
46649,Deodorant,Fragrance,27,8
18219,Socks,Socks,16,13
16483,Shirts,Topwear,1,0
13522,Tops,Topwear,6,0
59604,Sarees,Saree,25,16
23691,Wallets,Wallets,10,10
39374,Watches,Watches,3,3
8709,Sunglasses,Eyewear,9,7
12223,Trousers,Bottomwear,21,4
5983,Shirts,Topwear,1,0
20000,Tshirts,Topwear,0,0
9497,Sandals,Sandal,12,9
14839,Wallets,Wallets,10,10
28172,Sunglasses,Eyewear,9,7
43503,Tshirts,Topwear,0,0
49584,Heels,Shoes,8,1
4910,Tops,Topwear,6,0
44584,Jeans,Bottomwear,19,4
38666,Sports Shoes,Shoes,4,1
6216,Tshirts,Topwear,0,0
17105,Wallets,Wallets,10,10
45888,Watches,Watches,3,3
2892,Heels,Shoes,8,1
22370,Trousers,Bottomwear,21,4
33358,Formal Shoes,Shoes,17,1
46896,Jeans,Bottomwear,19,4
59165,Flats,Shoes,22,1
32542,Perfume and Body Mist,Fragrance,18,8
35209,Backpacks,Bags,15,2
57374,Briefs,Innerwear,13,5
55785,Casual Shoes,Shoes,2,1
58160,Wallets,Wallets,10,10
15750,Innerwear Vests,Innerwear,37,5
35177,Backpacks,Bags,15,2
18832,Belts,Belts,14,12
50546,Briefs,Innerwear,13,5
47621,Heels,Shoes,8,1
1635,Casual Shoes,Shoes,2,1
47569,Heels,Shoes,8,1
16871,Sunglasses,Eyewear,9,7
10885,Tshirts,Topwear,0,0
17144,Belts,Belts,14,12
44026,Perfume and Body Mist,Fragrance,18,8
23665,Jeans,Bottomwear,19,4
32387,Sweaters,Topwear,34,0
33448,Wallets,Wallets,10,10
54633,Watches,Watches,3,3
45041,Watches,Watches,3,3
25256,Backpacks,Bags,15,2
40289,Flip Flops,Flip Flops,11,11
35231,Formal Shoes,Shoes,17,1
5409,Sports Shoes,Shoes,4,1
2981,Tshirts,Topwear,0,0
8918,Belts,Belts,14,12
29886,Sunglasses,Eyewear,9,7
12495,Tshirts,Topwear,0,0
41277,Wallets,Wallets,10,10
19000,Tshirts,Topwear,0,0
57042,Dresses,Dress,24,14
28442,Handbags,Bags,7,2
28491,Tshirts,Topwear,0,0
31244,Tshirts,Topwear,0,0
44613,Sports Shoes,Shoes,4,1
58028,Earrings,Jewellery,26,6
8984,Casual Shoes,Shoes,2,1
17685,Heels,Shoes,8,1
39812,Trousers,Bottomwear,21,4
44687,Dresses,Dress,24,14
46643,Deodorant,Fragrance,27,8
31143,Tshirts,Topwear,0,0
10796,Shirts,Topwear,1,0
56798,Jeans,Bottomwear,19,4
20111,Kurtas,Topwear,5,0
19249,Watches,Watches,3,3
51428,Shirts,Topwear,1,0
39762,Trousers,Bottomwear,21,4
28133,Briefs,Innerwear,13,5
13478,Flats,Shoes,22,1
46924,Perfume and Body Mist,Fragrance,18,8
34560,Flip Flops,Flip Flops,11,11
14527,Shirts,Topwear,1,0
1836,Sports Shoes,Shoes,4,1
3766,Tshirts,Topwear,0,0
16048,Shirts,Topwear,1,0
57914,Socks,Socks,16,13
7748,Sports Shoes,Shoes,4,1
41026,Caps,Headwear,33,19
25153,Handbags,Bags,7,2
58334,Flip Flops,Flip Flops,11,11
24116,Flip Flops,Flip Flops,11,11
15343,Tshirts,Topwear,0,0
44582,Jeans,Bottomwear,19,4
11207,Watches,Watches,3,3
35900,Handbags,Bags,7,2
47647,Formal Shoes,Shoes,17,1
33734,Handbags,Bags,7,2
14478,Heels,Shoes,8,1
27811,Belts,Belts,14,12
31272,Tshirts,Topwear,0,0
29504,Watches,Watches,3,3
23088,Trousers,Bottomwear,21,4
13433,Tshirts,Topwear,0,0
4802,Tshirts,Topwear,0,0
33914,Watches,Watches,3,3
54338,Tops,Topwear,6,0
31285,Tshirts,Topwear,0,0
38132,Backpacks,Bags,15,2
29883,Sunglasses,Eyewear,9,7
13853,Shirts,Topwear,1,0
28313,Casual Shoes,Shoes,2,1
9674,Shorts,Bottomwear,20,4
1615,Tshirts,Topwear,0,0
17701,Casual Shoes,Shoes,2,1
36664,Handbags,Bags,7,2
27339,Deodorant,Fragrance,27,8
55163,Nail Polish,Nails,28,18
22603,Tshirts,Topwear,0,0
14376,Flats,Shoes,22,1
36945,Sports Shoes,Shoes,4,1
24906,Tshirts,Topwear,0,0
59965,Dresses,Dress,24,14
30453,Jeans,Bottomwear,19,4
40087,Tshirts,Topwear,0,0
55844,Nail Polish,Nails,28,18
17172,Shirts,Topwear,1,0
6555,Backpacks,Bags,15,2
12114,Kurtis,Topwear,38,0
7325,Formal Shoes,Shoes,17,1
45836,Kurtas,Topwear,5,0
27460,Bra,Innerwear,23,5
28696,Kurtas,Topwear,5,0
58701,Kurtas,Topwear,5,0
57603,Lipstick,Lips,29,15
34071,Flats,Shoes,22,1
51647,Watches,Watches,3,3
28950,Kurtis,Topwear,38,0
4038,Tshirts,Topwear,0,0
47317,Handbags,Bags,7,2
31271,Tshirts,Topwear,0,0
27905,Trousers,Bottomwear,21,4
18175,Dresses,Dress,24,14
35404,Flip Flops,Flip Flops,11,11
34060,Shorts,Bottomwear,20,4
19420,Shorts,Bottomwear,20,4
4778,Tshirts,Topwear,0,0
17175,Shirts,Topwear,1,0
28287,Sunglasses,Eyewear,9,7
17686,Heels,Shoes,8,1
29451,Watches,Watches,3,3
13538,Casual Shoes,Shoes,2,1
37457,Belts,Belts,14,12
49306,Socks,Socks,16,13
19170,Tshirts,Topwear,0,0
13503,Tshirts,Topwear,0,0
16890,Sunglasses,Eyewear,9,7
39219,Tops,Topwear,6,0
36449,Casual Shoes,Shoes,2,1
22019,Kurtas,Topwear,5,0
58205,Belts,Belts,14,12
37416,Handbags,Bags,7,2
51466,Tshirts,Topwear,0,0
19599,Tops,Topwear,6,0
49353,Casual Shoes,Shoes,2,1
50624,Briefs,Innerwear,13,5
33861,Flats,Shoes,22,1
59143,Heels,Shoes,8,1
19954,Sweaters,Topwear,34,0
35531,Casual Shoes,Shoes,2,1
55988,Lipstick,Lips,29,15
10792,Shirts,Topwear,1,0
35801,Heels,Shoes,8,1
9452,Shirts,Topwear,1,0
15335,Shorts,Bottomwear,20,4
34084,Casual Shoes,Shoes,2,1
56021,Lipstick,Lips,29,15
42224,Tops,Topwear,6,0
47403,Wallets,Wallets,10,10
49497,Casual Shoes,Shoes,2,1
37686,Backpacks,Bags,15,2
17069,Belts,Belts,14,12
4934,Dresses,Dress,24,14
52136,Tshirts,Topwear,0,0
8542,Flip Flops,Flip Flops,11,11
30872,Kurtas,Topwear,5,0
19020,Heels,Shoes,8,1
47582,Flats,Shoes,22,1
20671,Tshirts,Topwear,0,0
26930,Tops,Topwear,6,0
55136,Nail Polish,Nails,28,18
37906,Perfume and Body Mist,Fragrance,18,8
40154,Tshirts,Topwear,0,0
2058,Tshirts,Topwear,0,0
36812,Perfume and Body Mist,Fragrance,18,8
27667,Handbags,Bags,7,2
17978,Casual Shoes,Shoes,2,1
58006,Tops,Topwear,6,0
51677,Sunglasses,Eyewear,9,7
43951,Heels,Shoes,8,1
9356,Socks,Socks,16,13
1671,Tshirts,Topwear,0,0
7535,Tshirts,Topwear,0,0
42105,Shorts,Bottomwear,20,4
53507,Bra,Innerwear,23,5
51349,Casual Shoes,Shoes,2,1
53056,Sarees,Saree,25,16
3382,Handbags,Bags,7,2
56816,Shirts,Topwear,1,0
50942,Jeans,Bottomwear,19,4
22849,Casual Shoes,Shoes,2,1
25835,Kurtas,Topwear,5,0
9815,Casual Shoes,Shoes,2,1
16519,Jeans,Bottomwear,19,4
2333,Tshirts,Topwear,0,0
22896,Formal Shoes,Shoes,17,1
42320,Sarees,Saree,25,16
29012,Tshirts,Topwear,0,0
48199,Sunglasses,Eyewear,9,7
43069,Tshirts,Topwear,0,0
51763,Flats,Shoes,22,1
34212,Tshirts,Topwear,0,0
19200,Shirts,Topwear,1,0
51255,Belts,Belts,14,12
20176,Shirts,Topwear,1,0
29286,Shirts,Topwear,1,0
30066,Watches,Watches,3,3
20945,Flip Flops,Flip Flops,11,11
14119,Tshirts,Topwear,0,0
33179,Tops,Topwear,6,0
4809,Shorts,Bottomwear,20,4
11890,Formal Shoes,Shoes,17,1
25292,Handbags,Bags,7,2
51421,Shirts,Topwear,1,0
43336,Sports Shoes,Shoes,4,1
8276,Tshirts,Topwear,0,0
14002,Tshirts,Topwear,0,0
37880,Socks,Socks,16,13
45767,Deodorant,Fragrance,27,8
24911,Tshirts,Topwear,0,0
21566,Casual Shoes,Shoes,2,1
47273,Briefs,Innerwear,13,5
8927,Belts,Belts,14,12
13904,Sandals,Sandal,12,9
26256,Track Pants,Bottomwear,30,4
15742,Sports Shoes,Shoes,4,1
29097,Sunglasses,Eyewear,9,7
13037,Heels,Shoes,8,1
28117,Briefs,Innerwear,13,5
14550,Kurtas,Topwear,5,0
9633,Shirts,Topwear,1,0
19877,Flip Flops,Flip Flops,11,11
16389,Shirts,Topwear,1,0
4001,Flip Flops,Flip Flops,11,11
19642,Tshirts,Topwear,0,0
11154,Ties,Ties,36,20
3370,Sports Shoes,Shoes,4,1
50146,Heels,Shoes,8,1
28408,Sunglasses,Eyewear,9,7
25732,Belts,Belts,14,12
13468,Tshirts,Topwear,0,0
55900,Nail Polish,Nails,28,18
32766,Shirts,Topwear,1,0
29910,Watches,Watches,3,3
32314,Watches,Watches,3,3
13998,Sweatshirts,Topwear,32,0
45174,Watches,Watches,3,3
37901,Tshirts,Topwear,0,0
15900,Sandals,Sandal,12,9
4037,Tshirts,Topwear,0,0
57484,Sandals,Sandal,12,9
7348,Tshirts,Topwear,0,0
20873,Casual Shoes,Shoes,2,1
47911,Handbags,Bags,7,2
58246,Wallets,Wallets,10,10
18786,Wallets,Wallets,10,10
8775,Shirts,Topwear,1,0
15831,Kurtas,Topwear,5,0
33100,Heels,Shoes,8,1
29025,Tshirts,Topwear,0,0
45932,Watches,Watches,3,3
18755,Dresses,Dress,24,14
8311,Belts,Belts,14,12
43422,Jeans,Bottomwear,19,4
35194,Backpacks,Bags,15,2
49125,Nail Polish,Nails,28,18
10698,Watches,Watches,3,3
39282,Sandals,Sandal,12,9
17854,Briefs,Innerwear,13,5
14031,Tshirts,Topwear,0,0
49982,Briefs,Innerwear,13,5
23077,Shirts,Topwear,1,0
30249,Flip Flops,Flip Flops,11,11
58510,Dresses,Dress,24,14
49858,Watches,Watches,3,3
47409,Wallets,Wallets,10,10
31986,Socks,Socks,16,13
49929,Sarees,Saree,25,16
35262,Shirts,Topwear,1,0
54123,Heels,Shoes,8,1
3864,Tshirts,Topwear,0,0
37681,Backpacks,Bags,15,2
3778,Tshirts,Topwear,0,0
4246,Tshirts,Topwear,0,0
19333,Jackets,Topwear,35,0
9261,Shirts,Topwear,1,0
18708,Briefs,Innerwear,13,5
54200,Shirts,Topwear,1,0
20910,Jeans,Bottomwear,19,4
35991,Tshirts,Topwear,0,0
20148,Shirts,Topwear,1,0
6043,Tshirts,Topwear,0,0
14518,Shirts,Topwear,1,0
24977,Tshirts,Topwear,0,0
46051,Earrings,Jewellery,26,6
18792,Wallets,Wallets,10,10
36388,Socks,Socks,16,13
52034,Jackets,Topwear,35,0
48702,Earrings,Jewellery,26,6
54226,Trousers,Bottomwear,21,4
9138,Flip Flops,Flip Flops,11,11
20968,Handbags,Bags,7,2
56822,Trousers,Bottomwear,21,4
43532,Tops,Topwear,6,0
21953,Handbags,Bags,7,2
58001,Dresses,Dress,24,14
16645,Tshirts,Topwear,0,0
28293,Sunglasses,Eyewear,9,7
41535,Caps,Headwear,33,19
58664,Kurtas,Topwear,5,0
21736,Casual Shoes,Shoes,2,1
46892,Jeans,Bottomwear,19,4
30873,Kurtas,Topwear,5,0
12233,Shirts,Topwear,1,0
4749,Tshirts,Topwear,0,0
47520,Briefs,Innerwear,13,5
30748,Kurtas,Topwear,5,0
22777,Kurtas,Topwear,5,0
14296,Tshirts,Topwear,0,0
25223,Handbags,Bags,7,2
5021,Shirts,Topwear,1,0
19281,Watches,Watches,3,3
48189,Handbags,Bags,7,2
3409,Tshirts,Topwear,0,0
36482,Casual Shoes,Shoes,2,1
56924,Heels,Shoes,8,1
17134,Handbags,Bags,7,2
58983,Deodorant,Fragrance,27,8
52575,Clutches,Bags,31,2
23032,Shirts,Topwear,1,0
16545,Shirts,Topwear,1,0
56468,Nail Polish,Nails,28,18
58532,Sunglasses,Eyewear,9,7
44767,Casual Shoes,Shoes,2,1
31578,Tshirts,Topwear,0,0
25295,Handbags,Bags,7,2
5618,Sports Shoes,Shoes,4,1
54580,Kurtas,Topwear,5,0
53373,Backpacks,Bags,15,2
55645,Heels,Shoes,8,1
26072,Shirts,Topwear,1,0
9756,Tshirts,Topwear,0,0
37479,Watches,Watches,3,3
22594,Tshirts,Topwear,0,0
51400,Shirts,Topwear,1,0
26663,Casual Shoes,Shoes,2,1
31270,Tshirts,Topwear,0,0
56817,Shirts,Topwear,1,0
41180,Tshirts,Topwear,0,0
31093,Shirts,Topwear,1,0
10640,Casual Shoes,Shoes,2,1
35399,Formal Shoes,Shoes,17,1
32722,Clutches,Bags,31,2
59592,Sarees,Saree,25,16
7071,Backpacks,Bags,15,2
29462,Watches,Watches,3,3
49363,Casual Shoes,Shoes,2,1
11365,Tops,Topwear,6,0
9092,Sports Shoes,Shoes,4,1
19128,Flip Flops,Flip Flops,11,11
39461,Kurtis,Topwear,38,0
39773,Shirts,Topwear,1,0
50521,Innerwear Vests,Innerwear,37,5
27486,Briefs,Innerwear,13,5
28210,Sunglasses,Eyewear,9,7
13651,Sports Shoes,Shoes,4,1
17511,Tshirts,Topwear,0,0
6500,Tshirts,Topwear,0,0
3542,Shorts,Bottomwear,20,4
6811,Casual Shoes,Shoes,2,1
51912,Handbags,Bags,7,2
57476,Casual Shoes,Shoes,2,1
25215,Handbags,Bags,7,2
48125,Belts,Belts,14,12
26923,Tops,Topwear,6,0
10762,Flip Flops,Flip Flops,11,11
24840,Shirts,Topwear,1,0
12985,Casual Shoes,Shoes,2,1
11157,Ties,Ties,36,20
11037,Tops,Topwear,6,0
19980,Tshirts,Topwear,0,0
29472,Watches,Watches,3,3
6668,Casual Shoes,Shoes,2,1
26169,Trousers,Bottomwear,21,4
39847,Tops,Topwear,6,0
58565,Tshirts,Topwear,0,0
41523,Socks,Socks,16,13
41406,Tshirts,Topwear,0,0
7511,Track Pants,Bottomwear,30,4
8710,Sunglasses,Eyewear,9,7
29145,Tops,Topwear,6,0
19472,Sweatshirts,Topwear,32,0
9023,Sandals,Sandal,12,9
39405,Shirts,Topwear,1,0
31904,Briefs,Innerwear,13,5
59945,Casual Shoes,Shoes,2,1
58681,Kurtas,Topwear,5,0
59691,Bra,Innerwear,23,5
45810,Heels,Shoes,8,1
50282,Ties,Ties,36,20
7564,Tshirts,Topwear,0,0
13167,Sports Shoes,Shoes,4,1
3522,Tshirts,Topwear,0,0
18825,Wallets,Wallets,10,10
15861,Flip Flops,Flip Flops,11,11
2023,Tshirts,Topwear,0,0
41971,Tops,Topwear,6,0
23675,Sandals,Sandal,12,9
46898,Deodorant,Fragrance,27,8
30050,Watches,Watches,3,3
41356,Jeans,Bottomwear,19,4
23638,Tshirts,Topwear,0,0
40558,Watches,Watches,3,3
22681,Backpacks,Bags,15,2
4061,Tshirts,Topwear,0,0
21304,Sunglasses,Eyewear,9,7
9462,Shirts,Topwear,1,0
34400,Tshirts,Topwear,0,0
49574,Belts,Belts,14,12
6005,Shirts,Topwear,1,0
39202,Heels,Shoes,8,1
30672,Sunglasses,Eyewear,9,7
55903,Nail Polish,Nails,28,18
51024,Bra,Innerwear,23,5
16850,Sunglasses,Eyewear,9,7
26345,Watches,Watches,3,3
47040,Kurtas,Topwear,5,0
38028,Watches,Watches,3,3
12679,Trousers,Bottomwear,21,4
10435,Shirts,Topwear,1,0
24303,Sweatshirts,Topwear,32,0
44929,Tshirts,Topwear,0,0
22119,Formal Shoes,Shoes,17,1
29470,Watches,Watches,3,3
45970,Tops,Topwear,6,0
12485,Sandals,Sandal,12,9
58060,Earrings,Jewellery,26,6
9512,Tshirts,Topwear,0,0
55436,Lipstick,Lips,29,15
31109,Tshirts,Topwear,0,0
5730,Sports Shoes,Shoes,4,1
53877,Flip Flops,Flip Flops,11,11
16476,Shirts,Topwear,1,0
19208,Caps,Headwear,33,19
20410,Handbags,Bags,7,2
38577,Track Pants,Bottomwear,30,4
20401,Belts,Belts,14,12
25892,Tops,Topwear,6,0
19684,Tops,Topwear,6,0
3489,Casual Shoes,Shoes,2,1
55569,Deodorant,Fragrance,27,8
3757,Tshirts,Topwear,0,0
29935,Watches,Watches,3,3
40435,Tops,Topwear,6,0
46734,Watches,Watches,3,3
2576,Tops,Topwear,6,0
21426,Tshirts,Topwear,0,0
13137,Casual Shoes,Shoes,2,1
6106,Flip Flops,Flip Flops,11,11
58496,Tops,Topwear,6,0
38031,Watches,Watches,3,3
